Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1656,UNK,3 N CORTLAND,JACKSON,IN,39.02,-85.95,REPORT FROM MPING: 1-INCH TREE LIMBS BROKEN; SHINGLES BLOWN OFF. (IND)
Time,Size,Location,County,State,Lat,Lon,Comments
1245,125,2 SW FORT JENNINGS,PUTNAM,OH,40.88,-84.32,HAIL RANGED IN SIZE FROM SIZE OF A QUARTER TO HALF DOLLAR. (IWX)
1255,175,VAN WERT,VAN WERT,OH,40.86,-84.58,(IWX)
1305,100,COLUMBUS GROVE,PUTNAM,OH,40.92,-84.06,DIME TO QUARTER SIZED HAIL. (IWX)
1315,100,ARLINGTON,TARRANT,TX,32.73,-97.12,BRIEF NICKEL TO QUARTER SIZE HAIL IN ARLINGTON (FWD)
1319,125,1 SE CAIRO,ALLEN,OH,40.82,-84.08,(IWX)
1335,175,ARLINGTON,HANCOCK,OH,40.89,-83.65,SEVERAL REPORTS OF DIME TO GOLFBALL SIZE HAIL. (CLE)
1346,125,4 SSW CANTON,STARK,OH,40.76,-81.39,(CLE)
1348,100,DUNCANVILLE,DALLAS,TX,32.65,-96.9,BRIEF QUARTER SIZE HAIL IN DUNCANVILLE (FWD)
1542,100,3 SE ODON,DAVIESS,IN,38.81,-86.95,TIME ESTIMATED FROM RADAR. (IND)
1601,125,4 S ROCHESTER,SANGAMON,IL,39.69,-89.54,(ILX)
1602,100,SPRINGVILLE,LAWRENCE,IN,38.93,-86.62,TIME ESTIMATED FROM RADAR. (IND)
1605,100,5 NW KINCAID,CHRISTIAN,IL,39.64,-89.49,WEST SIDE OF SANGCHRIS LAKE STATE PARK (ILX)
1615,100,UNIONVILLE,BUTLER,PA,40.94,-79.96,(PBZ)
1615,175,3 W BRUNSWICK,MEDINA,OH,41.24,-81.88,NICKLE TO GOLFBALL SIZE HAIL. (CLE)
1629,175,1 S MOUNT AUBURN,CHRISTIAN,IL,39.75,-89.26,(ILX)
1632,100,4 W CORTLAND,JACKSON,IN,38.98,-86.04,TIME ESTIMATED FROM RADAR. (IND)
1636,175,SHELBYVILLE,SHELBY,IN,39.52,-85.78,(IND)
1640,175,BLUE MOUND,MACON,IL,39.7,-89.12,RELAYED BY EMA (ILX)
1645,100,MANILLA,RUSH,IN,39.57,-85.62,RELAYED VIA SOCIAL MEDIA. (IND)
1700,200,STOW,SUMMIT,OH,41.18,-81.44,(CLE)
1705,200,1 SSE SUGAR BUSH KNOLLS,PORTAGE,OH,41.19,-81.34,QUARTER TO 2 INCH HAIL. (CLE)
1719,125,2 SE MEDINA,MEDINA,OH,41.12,-81.84,(CLE)
1720,100,2 S RUSHVILLE,RUSH,IN,39.59,-85.44,APPROXIMATE LOCATION AND TIME. (IND)
1735,250,2 N AKRON,SUMMIT,OH,41.11,-81.52,2 INCH TO 2.5 INCH HAIL. (CLE)
1800,100,SLIPPERY ROCK,BUTLER,PA,41.07,-80.06,MIX OF DIME AND QUARTER SIZED HAIL (PBZ)
1813,100,1 ENE PRINCETON,LAWRENCE,PA,40.97,-80.21,MIX OF DIME TO QUARTER SIZED HAIL IN SLIPPERY ROCK TWP (PBZ)
1827,100,BESSEMER,LAWRENCE,PA,40.98,-80.49,FACEBOOK REPORT OF QUARTER SIZED HAIL WEST OF BESSEMER... LAWRENCE COUNTY (PBZ)
1830,100,2 WNW CARMEL,HAMILTON,IN,39.98,-86.14,(IND)
