Time,F_Scale,Location,County,State,Lat,Lon,Comments
1939,UNK,5 SSE TOPTON,WASHINGTON,AL,31.22,-88.13,SIGNIFICANT DAMAGE TO A CHURCH AND ONE MOBILE HOME REPORTED AS WELL AS SEVERAL TREES DOWN ALONG FAIRFORD RD IN SIMS CHAPEL... AL. TIME ESTIMATED BY RADAR. (MOB)
2003,UNK,2 N MARVYN,LEE,AL,32.47,-85.37,CONFIRMED DAMAGE NEAR DUPREE... AL. MULTIPLE HOMES DAMAGED. TORNADO CONFIRMED BY RADAR. (BMX)
2009,UNK,2 SSE GRIFFEN MILL,LEE,AL,32.5,-85.25,TREES AND POWER LINES DOWN NEAR THE INTERSECTION 401 AND 175 NEAR CRAWFORD...AL. (BMX)
2020,UNK,1 SW TUSKEGEE,MACON,AL,32.41,-85.71,TREES DOWN NEAR US 80 SOUTH OF TUSKEGEE. (BMX)
2020,UNK,2 E LEE POPE,CRAWFORD,GA,32.61,-83.91,*** 1 INJ *** MOBILE HOME ON GREER RD DESTOYED IN CRAWFORD COUNTY. ANOTHER HOME DAMAGED ON WESLEY CHAPEL RD. !FOLLOWUP: REPORTS OF AT LEAST TO HOMES DESTROYED AND MULTI (FFC)
2020,UNK,3 NNW POWERVILLE,PEACH,GA,32.64,-83.81,A TORNADO WAS SPOTTED WEST OF BYRON NEAR HWY 49 (MM 8). OBSERVER REPORTED IT WAS A SMALL TORNADO AND LIFTED AROUND 3:25PM (FFC)
2022,UNK,SALEM,LEE,AL,32.6,-85.24,US HWY 280 BLOCKED BY DOWNED CELL TOWER ACROSS HWY. (BMX)
2025,UNK,SMITHS STATION,LEE,AL,32.54,-85.1,DAMAGE ALONG HWY 280 NEAR SMITH STATION. (BMX)
2030,UNK,3 E GRIFFEN MILL,LEE,AL,32.52,-85.21,MULTIPLE TREES DOWN ACROSS LEE COUNTY RD 240 WEST OF SMITHS STATION. (BMX)
2030,UNK,4 NNW GREEN ISLAND HILL,MUSCOGEE,GA,32.59,-85.02,TREES ACROSS THE ROAD AT HIGHWAY 219 AND BIGGERS ROAD. (FFC)
2033,UNK,2 W FORTSON,HARRIS,GA,32.61,-84.98,HAM RADIO RELAYED REPORT OF TREES DOWN IN NORTHERN MUSCOGEE COUNTY IN PATH OF TDS (FFC)
2036,UNK,1 WSW FORTSON,MUSCOGEE,GA,32.6,-84.95,MANY TREES ACROSS I-185 AND EXIT 14 (FFC)
2042,UNK,2 NW HUBER,TWIGGS,GA,32.73,-83.56,TREES DOWN ON US 23. (FFC)
2047,UNK,1 ESE ELLERSLIE,HARRIS,GA,32.63,-84.79,REPORTS OF TREES DOWN ON MARGLO RD IN ELLERSLIE (FFC)
2051,UNK,3 NNE MARVYN,LEE,AL,32.48,-85.35,MULTIPLE TREES AND POWER LINES DOWN ALONG CR100. (BMX)
2052,UNK,2 WNW SOCIETY HILL,MACON,AL,32.43,-85.47,DAMAGE TO MOBILE HOMES WITH TREES AND POWER LINES DOWN. (BMX)
2056,UNK,BAUGHVILLE,TALBOT,GA,32.66,-84.67,REPORTS FROM EM OF STRUCTRUAL DAMAGE ALONG HWY 315 IN THE BAUGHVILLE AREA OF TALBOT COUNTY (FFC)
2100,UNK,1 NNW SMITHS STATION,LEE,AL,32.55,-85.1,STRUCTURAL DAMAGE ALONG 280 BETWEEN OPELIKA AND PHENIX CITY. (BMX)
2100,UNK,1 N TALBOTTON,TALBOT,GA,32.69,-84.54,*** 1 INJ *** SEVERAL HOMES DESTROYED. DETAILS FORTHCOMING. (FFC)
2128,UNK,3 WNW F.D. ROOSEVELT ST,HARRIS,GA,32.86,-84.85,REPORT OF EXCESSIVE DAMAGE TO THE BREEZY PINES APARTMENT COMPLEX IN PINE MOUNTAIN... GA. (FFC)
2130,UNK,HAZLEHURST,JEFF DAVIS,GA,31.87,-82.6,PUBLIC RELAYED A PHOTO OF A TORNADO WITH A PRELIMINARY LOCATION NEAR HAZLEHURST AT 430PM ON SOCIAL MEDIA. (JAX)
2202,UNK,4 WNW DOUGLAS,Coffee,GA,31.54,-82.91,EMERGENCY MANAGER RELAYED A REPORT OF A TORNADO OBSERVED NORTH OF STATE HIGHWAY 32 ON THE GROUND AT 502PM. (JAX)
2202,UNK,2 N OLD CREEK TOWN REC,BARBOUR,AL,31.95,-85.12,CONFIRMED TORNADO AT WEEDON FIELD IN EUFAULA. DAMAGE TO FIRE DEPARTMENT. (BMX)
2206,UNK,7 NE GEORGETOWN,QUITMAN,GA,31.96,-85.03,NUMEROUS TREES DOWN ACROSS THE NORTHERN PART OF QUITMAN COUNTY. DUAL-POL TORNADIC DEBRIS SIGNATURE ON RADAR. (TAE)
2218,UNK,5 SE SANFORD,STEWART,GA,31.94,-84.88,REPORT OF 3-4 HOMES DESTROYED ON COUNTY LINE RD IN STEWART COUNTY. (FFC)
2230,UNK,5 NW NEW HOME,WALTON,FL,30.66,-86.27,SCATTERED TREES REPORTED DOWN IN THE COUNTY WITH A DUAL-POL TORNADIC DEBRIS SIGNATURE AT THIS LOCATION. (TAE)
2245,UNK,2 S FORT GAINES,CLAY,GA,31.59,-85.05,SCATTERED TREES DOWN IN CLAY COUNTY WITH DUAL-POL TORNADIC DEBRIS SIGNATURE CROSSING INTO THE COUNTY NEAR THIS LOCATION. (TAE)
2253,UNK,3 WNW FADETTE,GENEVA,AL,31.06,-85.58,NUMEROUS TREES AND POWER LINES DOWN BETWEEN SLOCOMB AND FADETTE. DUAL-POL TORNADIC DEBRIS SIGNATURE IN THE SAME AREA. (TAE)
2334,UNK,ALFORD,JACKSON,FL,30.69,-85.39,NWS SURVEY TEAM NEAR THE ALFORD COMMUNITY IN JACKSON COUNTY HAS CONFIRMED THAT DAMAGE FROM YESTERDAYS STORMS WAS CAUSED BY A TORNADO. PRELIMINARY TORNADO RATING IS EF-1 (TAE)
2341,UNK,1 SW STEELE CITY,JACKSON,FL,30.72,-85.39,UNCONFIRMED TORNADO TOUCHDOWN ALONG SYFRETT ROAD. SIGNIFICANT ROOF DAMAGE REPORTED. (TAE)
0003,UNK,2 SSW LEXINGTON,LEXINGTON,SC,33.96,-81.25,ROOF BLOWN OFF A HOUSE ON ZENKER RD. TIME ESTIMATED BY RADAR. POSSIBLE TORNADO. (CAE)
0045,UNK,1 SE GREENSBORO,GADSDEN,FL,30.56,-84.56,3 TO 4 HOUSES WITH DAMAGE AND DUAL-POL TORNADIC DEBRIS SIGNATURE. (TAE)
0057,UNK,CAIRO,GRADY,GA,30.88,-84.21,NWS STORM SURVEY TEAM HAS CONFIRMED DAMAGE NEAR CAIRO... GA WAS CAUSED BY A TORNADO. ADDITIONAL DETAILS INCLUDING PICTURES AND A DAMAGE RATING WILL BE AVAILABLE LATER T (TAE)
0106,UNK,6 ENE SMITH CREEK,WAKULLA,FL,30.23,-84.58,SCATTERED TREES DOWN IN THE COUNTY. DUAL-POL TORNADIC DEBRIS SIGNATURE AT THIS LOCATION. (TAE)
0122,UNK,1 W BAUM,LEON,FL,30.49,-84.11,*** 1 INJ *** NUMEROUS TREES AND POWER LINES DOWN WITH DAMAGE TO AT LEAST ONE HOME. ONE MINOR INJURY REPORTED. (TAE)
0125,UNK,3 NNE CRAWFORDVILLE,WAKULLA,FL,30.22,-84.36,SPOTTER REPORTED A TORNADO IN THE AREA OF MIKE STEWART DRIVE AND CRAWFORDVILLE HIGHWAY WITH DAMAGE TO TREES AND POWER LINES. (TAE)
0142,UNK,2 NNE NEWPORT,WAKULLA,FL,30.23,-84.17,SCATTERED TREES DOWN IN THE COUNTY WITH A DUAL-POL TORNADIC DEBRIS SIGNATURE AT THIS LOCATION. (TAE)
Time,Speed,Location,County,State,Lat,Lon,Comments
1655,UNK,1 ESE HEIDELBERG,JASPER,MS,31.88,-88.97,A TREE DOWNED ON POWER LINES ACROSS HICKORY AVENUE. (JAN)
1728,UNK,2 S GLADE,JONES,MS,31.62,-89.11,TREE DOWN & PARTIALLY BLOCKING TUCKERS CROSSING RD NEAR ELLZEY RD. (JAN)
1853,UNK,PITTMAN,HOLMES,FL,30.94,-85.82,TREE DOWN IN PITTMAN. (TAE)
1857,UNK,3 S CHATOM,WASHINGTON,AL,31.42,-88.25,STORM SPOTTER REPORTS SEVERAL TREES AND POWERLINES DOWN ACROSS HWY 17 FIVE MILES SOUTH OF CHATOM... AL. POSSIBLE TORNADO DAMAGE. TIME ESTIMATED BY RADAR. (MOB)
1925,UNK,4 NNW AUTAUGAVILLE,AUTAUGA,AL,32.49,-86.69,TREES DOWN ALONG CR 19 NORTH OF AUTAUGAVILLE. (BMX)
1945,UNK,GAINESTOWN,CLARKE,AL,31.45,-87.69,TREE BLOCKING ROAD AT WALKER SPRINGS ROAD NEAR OVERSTREET GROCERY. (MOB)
