DIV,WD,County,Station Name,Data Source,DWR Abbrev,USGS Station ID,Station Status,Station Type,Date Time,Variable,Stage,Amount,Units,Flag,More Information,Location,UTM x,UTM y,Location Accuracy
5,38,GARFIELD,CRYSTAL RIVER AT COLORADO ROCKY MOUNTAIN SCHOOL ,Roaring Fork Conservancy,CRYCRMCO,,Active,Stream,09/30/1999 12:00:00 AM,DISCHRG,,,,,http://www.roaringfork.org/,"(39.408133, -107.229977)",308008,4364441,GPS
1,1,MORGAN,SOUTH PLATTE RIVER AT FORT MORGAN,U.S. Geological Survey (Data Provider),PLAMORCO,06759500,Active,Stream,04/10/2019 02:30:00 PM,DISCHRG,,85.7,CFS,,http://waterdata.usgs.gov/nwis/uv?06759500,"(40.268403, -103.801192)",601929,4458237,User supplied
1,1,MORGAN,DEUEL SNYDER CANAL,"Cooperative Program of CDWR, NCWCD & LSPWCD",DEUDITCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,0.09,0.52,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=DEUDITCO&MTYPE=DISCHRG,"(40.277589, -103.829311)",599525,4459225,
1,1,MORGAN,"FORT MORGAN CANAL NEAR WIGGINS, CO",Co. Division of Water Resources,MORCANCO,,Active,Diversion,04/10/2019 02:45:00 PM,DISCHRG,1.16,106,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=MORCANCO&MTYPE=DISCHRG,"(40.351518, -104.011127)",583977.4,4467241.5,
1,1,MORGAN,JACKSON LAKE OUTLET NEAR FORT MORGAN,Co. Division of Water Resources,JACKLACO,,Active,Diversion,04/10/2019 02:45:00 PM,DISCHRG,-0.37,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=JACKLACO&MTYPE=DISCHRG,"(40.370931, -104.077394)",578326.7,4469336,
1,1,MORGAN,LOWER PLATTE AND BEAVER CANAL @ 20 FT PARSHALL FLUME,Co. Division of Water Resources,LOPLABCO,,Active,Diversion,04/10/2019 02:45:00 PM,DISCHRG,0.97,72.6,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=LOPLABCO&MTYPE=DISCHRG,"(40.282253, -103.69381)",611038.3,4459903,
1,1,MORGAN,NORTH STERLING CANAL,Co. Division of Water Resources,STECANCO,,Active,Diversion,04/10/2019 02:45:00 PM,DISCHRG,2.28,89.2,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=STECANCO&MTYPE=DISCHRG,"(40.361241, -103.529295)",624877.7,4468890.5,
1,1,MORGAN,SOUTH PLATTE RIVER AT COOPER BRIDGE NEAR BALZAC,Co. Division of Water Resources,PLABALCO,06759910,Active,Stream,04/10/2019 02:30:00 PM,DISCHRG,1.09,23.3,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PLABALCO&MTYPE=DISCHRG,"(40.357682, -103.528595)",624990,4468477,
1,1,MORGAN,SOUTH PLATTE RIVER NEAR WELDONA,Co. Division of Water Resources,PLAWELCO,06758500,Active,Stream,04/10/2019 02:45:00 PM,DISCHRG,1.76,91.1,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PLAWELCO&MTYPE=DISCHRG,"(40.321018, -103.922814)",591518.4,4463944.5,
1,1,MORGAN,TREMONT DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",TRMDITCO,,Active,Diversion,04/10/2019 02:00:00 PM,DISCHRG,1.22,43.99,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=TRMDITCO&MTYPE=DISCHRG,"(40.285668, -103.702802)",610267.2,4460271.5,
1,1,MORGAN,UPPER PLATTE AND BEAVER DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",UPBDITCO,,Active,Diversion,04/10/2019 01:45:00 PM,DISCHRG,1.15,77.66,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=UPBDITCO&MTYPE=DISCHRG,"(40.274907, -103.834069)",599124.4,4458922,
1,1,MORGAN,WELDON VALLEY DITCH RETURN,Co. Division of Water Resources,WELRETCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,0.72,13.5,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=WELRETCO&MTYPE=DISCHRG,"(40.323081, -103.913212)",592331,4464183,
1,1,WASHINGTON,"PREWITT INLET CANAL NEAR MERINO, CO",Co. Division of Water Resources,PREWINCO,,Active,Diversion,04/10/2019 02:30:00 PM,DISCHRG,1.57,33,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PREWINCO&MTYPE=DISCHRG,"(40.404635, -103.408834)",635020.1,4473883.5,
1,1,WASHINGTON,TETSEL DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",TETDITCO,,Active,Diversion,04/10/2019 01:00:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=TETDITCO&MTYPE=DISCHRG,"(40.412121, -103.46325)",630387,4474634,
1,1,WELD,BIJOU CANAL @ 20 FT PARSHALL FLUME,Co. Division of Water Resources,BIJOUSCO,,Active,Diversion,04/10/2019 02:15:00 PM,DISCHRG,1.2,102,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=BIJOUSCO&MTYPE=DISCHRG,"(40.311306, -104.356438)",554684.7,4462507.5,
1,1,WELD,CORONA DITCH,Co. Division of Water Resources,CORDITCO,,Active,Diversion,04/10/2019 02:15:00 PM,DISCHRG,-0.02,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=CORDITCO&MTYPE=DISCHRG,"(40.311634, -104.357188)",554621.3,4462544.5,
1,1,WELD,EMPIRE INLET AT RESERVOIR,"Cooperative Program of CDWR, NCWCD & LSPWCD",EMPINLCO,,Active,Diversion,04/10/2019 12:45:00 PM,DISCHRG,0.65,73,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=EMPINLCO&MTYPE=DISCHRG,"(40.270278, -104.19879)",568121,4458064,
1,1,WELD,ILLINOIS DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",ILLDITCO,,Active,Diversion,04/10/2019 11:45:00 AM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=ILLDITCO&MTYPE=DISCHRG,"(40.37819, -104.446618)",546975,4469881,
1,1,WELD,JACKSON LAKE INLET DITCH,"Cooperative Program of CDWR, NCWCD & LSPWCD",JACDITCO,,Active,Diversion,04/10/2019 01:00:00 PM,DISCHRG,,0,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=JACDITCO&MTYPE=DISCHRG,"(40.307201, -104.250099)",563725.9,4462129.5,
1,1,WELD,RIVERSIDE CANAL AT RESERVOIR INLET GAGE,Co. Division of Water Resources,RIVCANCO,,Active,Diversion,04/10/2019 02:45:00 PM,DISCHRG,0.98,164,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=RIVCANCO&MTYPE=DISCHRG,"(40.338731, -104.312816)",558368.3,4465579.5,
1,1,WELD,"SOUTH PLATTE RIVER AT MASTERS, CO.",Co. Division of Water Resources,PLAMASCO,06756995,Active,Stream,04/10/2019 02:15:00 PM,DISCHRG,2.22,116,CFS,,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PLAMASCO&MTYPE=DISCHRG,"(40.362584, -104.244394)",564157.4,4468275,
1,1,WELD,SOUTH PLATTE RIVER NEAR KERSEY,Co. Division of Water Resources,PLAKERCO,06754000,Gage temporarily anavailable,Stream,03/19/2019 08:30:00 AM,DISCHRG,3.79,858,CFS,na,http://www.dwr.state.co.us/SurfaceWater/data/detail_graph.aspx?ID=PLAKERCO&MTYPE=DISCHRG,"(40.412507, -104.563185)",537061.6,4473634,
